time	species	prob	err
Fri Mar 24 16:07:36 AEST 2017	Pseudomonas TKP	0.050475850161902674	0.02650324742217665
Fri Mar 24 16:07:36 AEST 2017	Bacillus subtilis	0.19687995975094377	0.026503247422176635
Fri Mar 24 16:07:36 AEST 2017	Pseudomonas fluorescens	0.11040735701121773	0.026503247422176635
Fri Mar 24 16:07:36 AEST 2017	Micrococcus luteus	0.03763338440847802	0.02650324742217665
Fri Mar 24 16:07:36 AEST 2017	Pseudoalteromonas SM9913	0.08814708303861502	0.026503247422176655
Fri Mar 24 16:07:36 AEST 2017	Enterococcus faecalis	0.07444845290162871	0.026503247422176655
Fri Mar 24 16:07:36 AEST 2017	Escherichia coli	0.20458543920299857	0.026503247422176635
Fri Mar 24 16:07:45 AEST 2017	Halobacillus halophilus	0.1004365861491907	0.025515450502502993
Fri Mar 24 16:07:45 AEST 2017	Staphylococcus epidermidis	0.04207696469808658	0.02551545050250299
Fri Mar 24 16:07:45 AEST 2017	Chromobacterium violaceum	0.10122522968231372	0.025515450502502993
Fri Mar 24 16:07:45 AEST 2017	Pseudomonas TKP	0.05232933062868596	0.02551545050250299
Fri Mar 24 16:07:45 AEST 2017	Bacillus subtilis	0.19980567132269228	0.025515450502503007
Fri Mar 24 16:07:45 AEST 2017	Pseudomonas fluorescens	0.10674573441417493	0.025515450502502993
Fri Mar 24 16:07:45 AEST 2017	Micrococcus luteus	0.03497917289997934	0.025515450502502996
Fri Mar 24 16:07:45 AEST 2017	Pseudoalteromonas SM9913	0.08466371548673013	0.025515450502502993
Fri Mar 24 16:07:45 AEST 2017	Enterococcus faecalis	0.07441134955613074	0.02551545050250298
Fri Mar 24 16:07:45 AEST 2017	Escherichia coli	0.20532617605455347	0.025515450502503007
Fri Mar 24 16:08:08 AEST 2017	Halobacillus halophilus	0.09757619999620004	0.024583499266273026
Fri Mar 24 16:08:08 AEST 2017	Staphylococcus epidermidis	0.041371820434156235	0.024583499266273023
Fri Mar 24 16:08:08 AEST 2017	Chromobacterium violaceum	0.09976598101809783	0.024583499266273012
Fri Mar 24 16:08:08 AEST 2017	Pseudomonas TKP	0.050860871529046746	0.024583499266273023
Fri Mar 24 16:08:08 AEST 2017	Bacillus subtilis	0.19757619999620005	0.02458349926627304
Fri Mar 24 16:08:08 AEST 2017	Pseudomonas fluorescens	0.10925503211298836	0.024583499266273026
Fri Mar 24 16:08:08 AEST 2017	Micrococcus luteus	0.03699225839036061	0.024583499266273023
Fri Mar 24 16:08:08 AEST 2017	Pseudoalteromonas SM9913	0.08443751386481316	0.024583499266273012
Fri Mar 24 16:08:08 AEST 2017	Enterococcus faecalis	0.0764083167845212	0.024583499266273026
Fri Mar 24 16:08:08 AEST 2017	Escherichia coli	0.20998495912028764	0.02458349926627304
Fri Mar 24 16:08:22 AEST 2017	Halobacillus halophilus	0.09991143602441774	0.02372095983394154
Fri Mar 24 16:08:22 AEST 2017	Staphylococcus epidermidis	0.04208830677271706	0.02372095983394155
Fri Mar 24 16:08:22 AEST 2017	Chromobacterium violaceum	0.0971903475890436	0.023720959833941554
Fri Mar 24 16:08:22 AEST 2017	Pseudomonas TKP	0.050251572078839506	0.023720959833941544
Fri Mar 24 16:08:22 AEST 2017	Bacillus subtilis	0.1978706196978871	0.02372095983394154
Fri Mar 24 16:08:22 AEST 2017	Pseudomonas fluorescens	0.10671415711285312	0.023720959833941554
Fri Mar 24 16:08:22 AEST 2017	Micrococcus luteus	0.03868694622849937	0.023720959833941544
Fri Mar 24 16:08:22 AEST 2017	Pseudoalteromonas SM9913	0.08222436119448576	0.02372095983394154
Fri Mar 24 16:08:22 AEST 2017	Enterococcus faecalis	0.08018354486795515	0.02372095983394154
Fri Mar 24 16:08:22 AEST 2017	Escherichia coli	0.21011551765707082	0.02372095983394157
Fri Mar 24 16:08:41 AEST 2017	Halobacillus halophilus	0.09964034672413141	0.022863696977938525
Fri Mar 24 16:08:41 AEST 2017	Staphylococcus epidermidis	0.04126471220636492	0.022863696977938525
Fri Mar 24 16:08:41 AEST 2017	Chromobacterium violaceum	0.09773679342463903	0.022863696977938525
Fri Mar 24 16:08:41 AEST 2017	Pseudomonas TKP	0.04887892540433447	0.02286369697793853
Fri Mar 24 16:08:41 AEST 2017	Bacillus subtilis	0.19672156499824311	0.022863696977938552
Fri Mar 24 16:08:41 AEST 2017	Pseudomonas fluorescens	0.1066200421556035	0.022863696977938525
Fri Mar 24 16:08:41 AEST 2017	Micrococcus luteus	0.041899229972862384	0.022863696977938525
Fri Mar 24 16:08:41 AEST 2017	Pseudoalteromonas SM9913	0.07933577819621264	0.022863696977938525
Fri Mar 24 16:08:41 AEST 2017	Enterococcus faecalis	0.08123933149570502	0.022863696977938525
Fri Mar 24 16:08:41 AEST 2017	Escherichia coli	0.206239331495705	0.022863696977938497
Fri Mar 24 16:09:19 AEST 2017	Halobacillus halophilus	0.0991644198612241	0.022195446114207387
Fri Mar 24 16:09:19 AEST 2017	Staphylococcus epidermidis	0.04128852487315726	0.02219544611420738
Fri Mar 24 16:09:19 AEST 2017	Chromobacterium violaceum	0.0991644198612241	0.022195446114207387
Fri Mar 24 16:09:19 AEST 2017	Pseudomonas TKP	0.05023840554141502	0.02219544611420738
Fri Mar 24 16:09:19 AEST 2017	Bacillus subtilis	0.19462981365597348	0.022195446114207373
Fri Mar 24 16:09:19 AEST 2017	Pseudomonas fluorescens	0.10453434826217875	0.022195446114207387
Fri Mar 24 16:09:19 AEST 2017	Micrococcus luteus	0.042481842295591626	0.02219544611420738
Fri Mar 24 16:09:19 AEST 2017	Pseudoalteromonas SM9913	0.07887802367983984	0.022195446114207387
Fri Mar 24 16:09:19 AEST 2017	Enterococcus faecalis	0.08007134110227421	0.022195446114207387
Fri Mar 24 16:09:19 AEST 2017	Escherichia coli	0.21014294014762025	0.022195446114207373
Fri Mar 24 16:09:33 AEST 2017	Halobacillus halophilus	0.10003058855287844	0.021588150629627878
Fri Mar 24 16:09:33 AEST 2017	Staphylococcus epidermidis	0.03964684137454888	0.021588150629627885
Fri Mar 24 16:09:33 AEST 2017	Chromobacterium violaceum	0.10059492263865724	0.021588150629627892
Fri Mar 24 16:09:33 AEST 2017	Pseudomonas TKP	0.05149785717590328	0.021588150629627885
Fri Mar 24 16:09:33 AEST 2017	Bacillus subtilis	0.19935338764994393	0.021588150629627878
Fri Mar 24 16:09:33 AEST 2017	Pseudomonas fluorescens	0.10510959532488748	0.021588150629627878
Fri Mar 24 16:09:33 AEST 2017	Micrococcus luteus	0.04133984363188522	0.021588150629627885
Fri Mar 24 16:09:33 AEST 2017	Pseudoalteromonas SM9913	0.07915022737906355	0.021588150629627878
Fri Mar 24 16:09:33 AEST 2017	Enterococcus faecalis	0.08027889555062112	0.021588150629627892
Fri Mar 24 16:09:33 AEST 2017	Escherichia coli	0.20386806033617416	0.021588150629627878
Fri Mar 24 16:09:47 AEST 2017	Halobacillus halophilus	0.1011099938693899	0.020918809588986287
Fri Mar 24 16:09:47 AEST 2017	Staphylococcus epidermidis	0.038975102738216236	0.020918809588986287
Fri Mar 24 16:09:47 AEST 2017	Chromobacterium violaceum	0.10057892642382432	0.020918809588986287
Fri Mar 24 16:09:47 AEST 2017	Pseudomonas TKP	0.05172072143179032	0.020918809588986287
Fri Mar 24 16:09:47 AEST 2017	Bacillus subtilis	0.19457786428893317	0.020918809588986287
Fri Mar 24 16:09:47 AEST 2017	Pseudomonas fluorescens	0.10695173577061134	0.020918809588986287
Fri Mar 24 16:09:47 AEST 2017	Micrococcus luteus	0.042692574857175355	0.020918809588986294
Fri Mar 24 16:09:47 AEST 2017	Pseudoalteromonas SM9913	0.08039836349233202	0.020918809588986294
Fri Mar 24 16:09:47 AEST 2017	Enterococcus faecalis	0.07933622860120083	0.02091880958898628
Fri Mar 24 16:09:47 AEST 2017	Escherichia coli	0.20519921320024492	0.020918809588986287
Fri Mar 24 16:09:58 AEST 2017	Halobacillus halophilus	0.10337994525226124	0.02046791289634617
Fri Mar 24 16:09:58 AEST 2017	Staphylococcus epidermidis	0.0381625539479134	0.020467912896346162
Fri Mar 24 16:09:58 AEST 2017	Chromobacterium violaceum	0.10236882290645738	0.020467912896346155
Fri Mar 24 16:09:58 AEST 2017	Pseudomonas TKP	0.04979046092465759	0.020467912896346162
Fri Mar 24 16:09:58 AEST 2017	Bacillus subtilis	0.19690876223911663	0.02046791289634614
Fri Mar 24 16:09:58 AEST 2017	Pseudomonas fluorescens	0.10742443463547659	0.020467912896346155
Fri Mar 24 16:09:58 AEST 2017	Micrococcus luteus	0.04220704333112877	0.020467912896346162
Fri Mar 24 16:09:58 AEST 2017	Pseudoalteromonas SM9913	0.07709076426136133	0.020467912896346155
Fri Mar 24 16:09:58 AEST 2017	Enterococcus faecalis	0.07911300895296902	0.02046791289634617
Fri Mar 24 16:09:58 AEST 2017	Escherichia coli	0.20550330217844928	0.02046791289634617
Fri Mar 24 16:10:06 AEST 2017	Halobacillus halophilus	0.10198752311728157	0.019980769619934724
Fri Mar 24 16:10:06 AEST 2017	Staphylococcus epidermidis	0.03831169098992989	0.019980769619934717
Fri Mar 24 16:10:06 AEST 2017	Chromobacterium violaceum	0.10198752311728157	0.019980769619934724
Fri Mar 24 16:10:06 AEST 2017	Pseudomonas TKP	0.04988911501308474	0.019980769619934717
Fri Mar 24 16:10:06 AEST 2017	Bacillus subtilis	0.193159737299626	0.019980769619934724
Fri Mar 24 16:10:06 AEST 2017	Pseudomonas fluorescens	0.11018819846701625	0.019980769619934724
Fri Mar 24 16:10:06 AEST 2017	Micrococcus luteus	0.04265322499861296	0.019980769619934717
Fri Mar 24 16:10:06 AEST 2017	Pseudoalteromonas SM9913	0.0793150677386033	0.01998076961993471
Fri Mar 24 16:10:06 AEST 2017	Enterococcus faecalis	0.07690310440044607	0.019980769619934724
Fri Mar 24 16:10:06 AEST 2017	Escherichia coli	0.2071491246609381	0.019980769619934724
Fri Mar 24 16:10:22 AEST 2017	Halobacillus halophilus	0.10332295373792807	0.019490618408586763
Fri Mar 24 16:10:22 AEST 2017	Staphylococcus epidermidis	0.03745469026487419	0.01949061840858677
Fri Mar 24 16:10:22 AEST 2017	Chromobacterium violaceum	0.10332295373792807	0.019490618408586763
Fri Mar 24 16:10:22 AEST 2017	Pseudomonas TKP	0.05127320707740298	0.01949061840858677
Fri Mar 24 16:10:22 AEST 2017	Bacillus subtilis	0.19222207856519663	0.019490618408586763
